symbol,date,adjusted_close_price
USDJPY=X,2025-08-22,148.386
USDJPY=X,2025-08-29,146.79
USDJPY=X,2025-09-05,148.375
USDJPY=X,2025-09-12,147.224
USDJPY=X,2025-09-19,147.947
USDJPY=X,2025-09-26,149.861
USDJPY=X,2025-10-03,147.15
USDJPY=X,2025-10-10,152.965
USDJPY=X,2025-10-17,150.12
USDJPY=X,2025-10-24,152.602
USDJPY=X,2025-10-31,153.9
USDJPY=X,2025-11-07,152.948
USDJPY=X,2025-11-14,154.633
USDJPY=X,2025-11-21,157.369
USDJPY=X,2025-11-28,156.284
USDJPY=X,2025-12-05,155.142
USDJPY=X,2025-12-12,155.567
USDJPY=X,2025-12-19,155.586
USDJPY=X,2025-12-26,156.09
USDJPY=X,2026-01-02,156.731
USDJPY=X,2026-01-09,156.88
USDJPY=X,2026-01-16,158.596
USDJPY=X,2026-01-23,158.501
USDJPY=X,2026-01-30,153.162
USDT-USD,2025-08-01,0.99947
USDT-USD,2025-08-08,1.000091
USDT-USD,2025-08-15,1.000633
USDT-USD,2025-08-22,0.999714
USDT-USD,2025-08-29,1.000146
USDT-USD,2025-09-05,0.99995
USDT-USD,2025-09-12,1.000618
USDT-USD,2025-09-19,1.000546
USDT-USD,2025-09-26,1.000478
USDT-USD,2025-10-03,1.000494
USDT-USD,2025-10-10,1.001756
USDT-USD,2025-10-17,1.000337
USDT-USD,2025-10-24,1.000304
USDT-USD,2025-10-31,0.999577
USDT-USD,2025-11-07,0.999728
USDT-USD,2025-11-14,0.999129
USDT-USD,2025-11-21,0.999414
USDT-USD,2025-11-28,1.000176
USDT-USD,2025-12-05,1.000232
USDT-USD,2025-12-12,1.000081
USDT-USD,2025-12-19,0.999463
USDT-USD,2025-12-26,0.999187
USDT-USD,2026-01-02,0.999672
USDT-USD,2026-01-09,0.998727
USDT-USD,2026-01-16,0.999513
USDT-USD,2026-01-23,0.998688
USDT-USD,2026-01-30,0.998488
